eid,doi,doi_url,title,source
2-s2.0-84858839195,,,Rapid Craft: Material experiments towards an integrated sensing skin system,Expanding Bodies Art Cities Environment Proceedings of the Acadia 2007 Conference
2-s2.0-84865487569,,,Luminous efficacy based on fuzzy controlled roller blind positioning,Research in Architectural Engineering Series
2-s2.0-84858806571,,,Evolving cooperative behaviour in a reflexive membrane,Expanding Bodies Art Cities Environment Proceedings of the Acadia 2007 Conference
2-s2.0-84869768076,,,The daylight coefficient method and complex fenestration,Ibpsa 2007 International Building Performance Simulation Association 2007
2-s2.0-34247101823,,,Natural ventilation brings a breath of fresh air to shopping centres,Building Engineer
2-s2.0-85128384784,,,Soft façade: Steps into the definition of a responsive etfe façade for high-rise buildings work in progress,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-77954811888,,,Fab finding towards a methodology of material guided digital fabrication,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-85103035355,,,Pressure equalized insulated glass units in exterior building envelopes,Thermal Performance of the Exterior Envelopes of Whole Buildings
2-s2.0-84898873405,,,Bionic breathing skin for buildings,Portugal Sb 2007 Sustainable Construction Materials and Practices Challenge of the Industry for the New Millennium
2-s2.0-33746883534,,,Greening the glasshouse,Fabric Architecture
